iter	Passed	Remaining
1333	10581	5282
1334	10588	5274
1335	10595	5265
1336	10602	5257
1337	10610	5249
1338	10618	5241
1339	10626	5233
1340	10633	5225
1341	10640	5216
1342	10646	5208
1343	10653	5200
1344	10661	5191
1345	10668	5183
1346	10675	5175
1347	10683	5167
1348	10691	5159
1349	10698	5151
1350	10706	5143
1351	10713	5134
1352	10720	5126
1353	10729	5119
1354	10736	5110
1355	10743	5102
1356	10750	5094
1357	10757	5085
1358	10765	5077
1359	10772	5069
1360	10779	5061
1361	10789	5054
1362	10796	5045
1363	10803	5037
1364	10810	5028
1365	10817	5020
1366	10825	5012
1367	10833	5004
1368	10840	4996
1369	10848	4988
1370	10855	4980
1371	10866	4973
1372	10873	4965
1373	10879	4956
1374	10888	4949
1375	10895	4940
1376	10903	4933
1377	10910	4924
1378	10919	4917
1379	10928	4909
1380	10938	4903
1381	10948	4896
1382	10955	4887
1383	10964	4880
1384	10973	4872
1385	10984	4866
1386	10993	4858
1387	11001	4851
1388	11011	4843
1389	11018	4835
1390	11025	4827
1391	11032	4818
1392	11041	4811
1393	11047	4802
1394	11054	4794
1395	11061	4785
1396	11069	4778
1397	11077	4770
1398	11086	4762
1399	11093	4754
1400	11101	4746
1401	11108	4738
1402	11115	4729
1403	11124	4722
1404	11131	4714
1405	11138	4705
1406	11145	4697
1407	11152	4689
1408	11160	4681
1409	11168	4673
1410	11175	4664
1411	11183	4657
1412	11191	4649
1413	11197	4640
1414	11205	4632
1415	11212	4624
1416	11220	4616
1417	11227	4608
1418	11234	4599
1419	11243	4592
1420	11249	4583
1421	11257	4575
1422	11264	4567
1423	11270	4558
1424	11277	4550
1425	11285	4542
1426	11292	4534
1427	11300	4526
1428	11307	4518
1429	11314	4509
1430	11321	4501
1431	11329	4493
1432	11337	4486
1433	11345	4477
1434	11352	4469
1435	11360	4462
1436	11367	4453
1437	11374	4445
1438	11383	4437
1439	11390	4429
1440	11397	4421
1441	11405	4413
1442	11411	4404
1443	11419	4396
1444	11426	4388
1445	11432	4380
1446	11442	4372
1447	11448	4364
1448	11457	4356
1449	11468	4350
1450	11477	4342
1451	11485	4334
1452	11492	4326
1453	11500	4318
1454	11507	4310
1455	11514	4302
1456	11521	4293
1457	11528	4285
1458	11536	4277
1459	11543	4269
1460	11551	4261
1461	11559	4253
1462	11566	4245
1463	11573	4237
1464	11580	4229
1465	11587	4220
1466	11594	4212
1467	11601	4204
1468	11608	4196
1469	11617	4188
1470	11624	4180
1471	11631	4172
1472	11638	4164
1473	11646	4155
1474	11654	4148
1475	11661	4139
1476	11668	4131
1477	11674	4123
1478	11682	4115
1479	11689	4106
1480	11695	4098
1481	11702	4090
1482	11709	4082
1483	11716	4074
1484	11724	4066
1485	11734	4058
1486	11740	4050
1487	11748	4042
1488	11755	4034
1489	11762	4026
1490	11771	4018
1491	11778	4010
1492	11787	4002
1493	11793	3994
1494	11800	3986
1495	11809	3978
1496	11816	3970
1497	11822	3961
1498	11830	3954
1499	11837	3945
1500	11844	3937
1501	11852	3929
1502	11859	3921
1503	11867	3913
1504	11873	3905
1505	11881	3897
1506	11889	3889
1507	11896	3881
1508	11904	3873
1509	11915	3866
1510	11922	3858
1511	11930	3850
1512	11937	3842
1513	11948	3835
1514	11956	3827
1515	11963	3819
1516	11973	3812
1517	11981	3804
1518	11991	3797
1519	11999	3789
1520	12005	3780
1521	12012	3772
1522	12019	3764
1523	12027	3756
1524	12034	3748
1525	12043	3740
1526	12050	3732
1527	12057	3724
1528	12064	3716
1529	12072	3708
1530	12079	3700
1531	12088	3692
1532	12095	3684
1533	12102	3676
1534	12110	3668
1535	12118	3660
1536	12126	3653
1537	12133	3644
1538	12140	3636
1539	12147	3628
1540	12154	3620
1541	12161	3612
1542	12167	3603
1543	12174	3595
1544	12182	3587
1545	12189	3579
1546	12196	3571
1547	12205	3563
1548	12212	3555
1549	12218	3547
1550	12226	3539
1551	12232	3531
1552	12241	3523
1553	12248	3515
1554	12254	3507
1555	12263	3499
1556	12269	3490
1557	12275	3482
1558	12284	3474
1559	12291	3466
1560	12300	3459
1561	12307	3451
1562	12314	3442
1563	12321	3434
1564	12328	3426
1565	12334	3418
1566	12342	3410
1567	12348	3402
1568	12355	3394
1569	12364	3386
1570	12370	3378
1571	12377	3370
1572	12386	3362
1573	12393	3354
1574	12400	3346
1575	12407	3338
1576	12414	3329
1577	12422	3322
1578	12429	3313
1579	12435	3305
1580	12443	3297
1581	12450	3289
1582	12457	3281
1583	12465	3273
1584	12472	3265
1585	12480	3257
1586	12486	3249
1587	12493	3241
1588	12502	3233
1589	12512	3226
1590	12521	3218
1591	12528	3210
1592	12535	3202
1593	12543	3195
1594	12551	3187
1595	12558	3178
1596	12565	3170
1597	12573	3162
1598	12581	3155
1599	12587	3146
1600	12594	3138
1601	12603	3131
1602	12609	3122
1603	12617	3114
1604	12623	3106
1605	12630	3098
1606	12637	3090
1607	12644	3082
1608	12651	3074
1609	12660	3066
1610	12668	3059
1611	12677	3051
1612	12684	3043
1613	12691	3035
1614	12699	3027
1615	12706	3019
1616	12713	3011
1617	12721	3003
1618	12728	2995
1619	12734	2987
1620	12742	2979
1621	12749	2971
1622	12757	2963
1623	12764	2955
1624	12770	2947
1625	12779	2939
1626	12785	2931
1627	12792	2923
1628	12801	2915
1629	12807	2907
1630	12816	2899
1631	12822	2891
1632	12829	2883
1633	12836	2875
1634	12844	2867
1635	12851	2859
1636	12861	2851
1637	12868	2843
1638	12877	2836
1639	12884	2828
1640	12896	2821
1641	12903	2813
1642	12912	2805
1643	12919	2797
1644	12926	2789
1645	12934	2781
1646	12946	2774
1647	12958	2767
1648	12966	2760
1649	12974	2752
1650	12981	2744
1651	12988	2736
1652	12996	2728
1653	13003	2720
1654	13010	2712
1655	13018	2704
1656	13028	2696
1657	13036	2689
1658	13044	2681
1659	13052	2673
1660	13059	2665
1661	13066	2657
1662	13075	2649
1663	13082	2641
1664	13089	2633
1665	13097	2625
1666	13104	2617
1667	13112	2609
1668	13118	2601
1669	13125	2593
1670	13133	2585
1671	13139	2577
1672	13146	2569
